pT,W,R,pL,c,pL*c,pQ,R1_array,R2_array,Max_R1_Payoff,Max_R2_Payoff,Max_Payoff,Eq,Number_Eqs,Strategy_Name,Strategy
0.5,34,34,0.353542676835928,50,17.6771338417964,1,"[[17.0, 17.0], [7.82, 16.32]]","[[17.0, 7.82], [17.0, 16.32]]",17.0,17.0,17.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,13,13,0.28246231778508946,42,11.863417346973756,1,"[[6.5, 6.5], [-2.11, 1.14]]","[[6.5, -2.11], [6.5, 1.14]]",6.5,6.5,6.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,31,31,0.7325399073618394,21,15.383338054598626,1,"[[15.5, 15.5], [7.87, 15.62]]","[[15.5, 7.87], [15.5, 15.62]]",15.5,15.62,15.62,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.02, 0.98]), array([0.02, 0.98])]",3.0,Not_Unique,2
0.5,14,14,0.9131776329154279,19,17.35037502539313,1,"[[7.0, 7.0], [-6.85, -3.35]]","[[7.0, -6.85], [7.0, -3.35]]",7.0,7.0,7.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,77,77,0.46246645465644964,11,5.087131001220946,1,"[[38.5, 38.5], [52.66, 71.91]]","[[38.5, 52.66], [38.5, 71.91]]",71.91,71.91,71.91,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,59,59,0.7216159337168556,3,2.1648478011505667,1,"[[29.5, 29.5], [42.09, 56.84]]","[[29.5, 42.09], [29.5, 56.84]]",56.84,56.84,56.84,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,92,92,0.1105326553027205,41,4.53183886741154,1,"[[46.0, 46.0], [64.47, 87.47]]","[[46.0, 64.47], [46.0, 87.47]]",87.47,87.47,87.47,"[array([-0.,  1.]), array([-0.,  1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
0.5,40,40,0.6191586888309857,48,29.719617063887313,1,"[[20.0, 20.0], [0.28, 10.28]]","[[20.0, 0.28], [20.0, 10.28]]",20.0,20.0,20.0,"[array([0.5, 0.5]), array([0.5, 0.5]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,27,27,0.7495800061205794,34,25.4857202080997,1,"[[13.5, 13.5], [-5.24, 1.51]]","[[13.5, -5.24], [13.5, 1.51]]",13.5,13.5,13.5,"[array([1., 0.]), array([1., 0.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,52,52,0.7005207591353791,50,35.02603795676896,1,"[[26.0, 26.0], [3.97, 16.97]]","[[26.0, 3.97], [26.0, 16.97]]",26.0,26.0,26.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,65,65,0.5867820633682953,22,12.909205394102496,1,"[[32.5, 32.5], [35.84, 52.09]]","[[32.5, 35.84], [32.5, 52.09]]",52.09,52.09,52.09,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,77,77,0.005020588065046461,41,0.2058441106669049,1,"[[38.5, 38.5], [57.54, 76.79]]","[[38.5, 57.54], [38.5, 76.79]]",76.79,76.79,76.79,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,63,63,0.048434632929320265,32,1.5499082537382485,1,"[[31.5, 31.5], [45.7, 61.45]]","[[31.5, 45.7], [31.5, 61.45]]",61.45,61.45,61.45,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,99,99,0.5999790419446963,50,29.998952097234817,1,"[[49.5, 49.5], [44.25, 69.0]]","[[49.5, 44.25], [49.5, 69.0]]",49.5,69.0,69.0,"[array([0., 1.]), array([0., 1.]), array([0.79, 0.21]), array([0.79, 0.21]), array([1., 0.]), array([1., 0.])]",3.0,Not_Unique,2
0.5,9,9,0.4794277190062288,7,3.3559940330436016,1,"[[4.5, 4.5], [3.39, 5.64]]","[[4.5, 3.39], [4.5, 5.64]]",4.5,5.64,5.64,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.51, 0.49]), array([0.51, 0.49])]",3.0,Not_Unique,2
0.5,69,69,0.26309848695648275,33,8.682250069563931,1,"[[34.5, 34.5], [43.07, 60.32]]","[[34.5, 43.07], [34.5, 60.32]]",60.32,60.32,60.32,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,54,54,0.7339076266399073,26,19.08159829263759,1,"[[27.0, 27.0], [21.42, 34.92]]","[[27.0, 21.42], [27.0, 34.92]]",27.0,34.92,34.92,"[array([1., 0.]), array([1., 0.]), array([-0.,  1.]), array([-0.,  1.]), array([0.59, 0.41]), array([0.59, 0.41])]",3.0,Not_Unique,2
0.5,90,90,0.37466448385805806,6,2.247986903148348,1,"[[45.0, 45.0], [65.25, 87.75]]","[[45.0, 65.25], [45.0, 87.75]]",87.75,87.75,87.75,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,54,54,0.7072598843800736,23,16.266977340741693,1,"[[27.0, 27.0], [24.23, 37.73]]","[[27.0, 24.23], [27.0, 37.73]]",27.0,37.73,37.73,"[array([0., 1.]), array([0., 1.]), array([0.79, 0.21]), array([0.79, 0.21]), array([1., 0.]), array([1., 0.])]",3.0,Not_Unique,2
0.5,71,71,0.19183197275835784,8,1.5346557820668627,1,"[[35.5, 35.5], [51.72, 69.47]]","[[35.5, 51.72], [35.5, 69.47]]",69.47,69.47,69.47,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,24,24,0.06621495732749072,32,2.118878634479703,1,"[[12.0, 12.0], [15.88, 21.88]]","[[12.0, 15.88], [12.0, 21.88]]",21.88,21.88,21.88,"[array([0., 1.]), array([0., 1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
0.5,19,19,0.8082678582407806,32,25.86457146370498,1,"[[9.5, 9.5], [-11.61, -6.86]]","[[9.5, -11.61], [9.5, -6.86]]",9.5,9.5,9.5,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,1,1,0.5470334248776716,37,20.24023672047385,1,"[[0.5, 0.5], [-19.49, -19.24]]","[[0.5, -19.49], [0.5, -19.24]]",0.5,0.5,0.5,"[array([ 1., -0.]), array([ 1., -0.])]",1.0,Guess,0
0.5,66,66,0.6917643897062796,9,6.225879507356517,1,"[[33.0, 33.0], [43.27, 59.77]]","[[33.0, 43.27], [33.0, 59.77]]",59.77,59.77,59.77,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,11,11,0.9249205447100107,43,39.77158342253046,1,"[[5.5, 5.5], [-31.52, -28.77]]","[[5.5, -31.52], [5.5, -28.77]]",5.5,5.5,5.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,84,84,0.34254435107480896,18,6.165798319346561,1,"[[42.0, 42.0], [56.83, 77.83]]","[[42.0, 56.83], [42.0, 77.83]]",77.83,77.83,77.83,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,47,47,0.9709478092220473,37,35.92506894121575,1,"[[23.5, 23.5], [-0.68, 11.07]]","[[23.5, -0.68], [23.5, 11.07]]",23.5,23.5,23.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,57,57,0.7465147145395314,28,20.902412007106882,1,"[[28.5, 28.5], [21.85, 36.1]]","[[28.5, 21.85], [28.5, 36.1]]",28.5,36.1,36.1,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.53, 0.47]), array([0.53, 0.47])]",4.0,Not_Unique,2
0.5,49,49,0.46035768251704,8,3.68286146013632,1,"[[24.5, 24.5], [33.07, 45.32]]","[[24.5, 33.07], [24.5, 45.32]]",45.32,45.32,45.32,"[array([-0.,  1.]), array([-0.,  1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
0.5,85,85,0.9451937000250984,12,11.34232440030118,1,"[[42.5, 42.5], [52.41, 73.66]]","[[42.5, 52.41], [42.5, 73.66]]",73.66,73.66,73.66,"[array([-0.,  1.]), array([-0.,  1.]), array([0.5, 0.5]), array([0.5, 0.5])]",2.0,Not_Unique,2
