pT,W,R,pL,c,pL*c,pQ,R1_array,R2_array,Max_R1_Payoff,Max_R2_Payoff,Max_Payoff,Eq,Number_Eqs,Strategy_Name,Strategy
0.5,77,77,0.8844907194751556,10,8.844907194751556,1,"[[38.5, 38.5], [48.91, 68.16]]","[[38.5, 48.91], [38.5, 68.16]]",68.16,68.16,68.16,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,71,71,0.4528014601689734,27,12.225639424562281,1,"[[35.5, 35.5], [41.02, 58.77]]","[[35.5, 41.02], [35.5, 58.77]]",58.77,58.77,58.77,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,53,53,0.21064518874728966,6,1.263871132483738,1,"[[26.5, 26.5], [38.49, 51.74]]","[[26.5, 38.49], [26.5, 51.74]]",51.74,51.74,51.74,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,92,92,0.8823855829929624,3,2.647156748978887,1,"[[46.0, 46.0], [66.35, 89.35]]","[[46.0, 66.35], [46.0, 89.35]]",89.35,89.35,89.35,"[array([0., 1.]), array([0., 1.]), array([-inf,  inf]), array([-inf,  inf])]",2.0,Not_Unique,2
0.5,48,48,0.7874043570411046,5,3.937021785205523,1,"[[24.0, 24.0], [32.06, 44.06]]","[[24.0, 32.06], [24.0, 44.06]]",44.06,44.06,44.06,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,15,15,0.8074061375081466,13,10.496279787605905,1,"[[7.5, 7.5], [0.75, 4.5]]","[[7.5, 0.75], [7.5, 4.5]]",7.5,7.5,7.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,39,39,0.6742718000092154,1,0.6742718000092154,1,"[[19.5, 19.5], [28.58, 38.33]]","[[19.5, 28.58], [19.5, 38.33]]",38.33,38.33,38.33,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,23,23,0.4401768990192222,16,7.042830384307555,1,"[[11.5, 11.5], [10.21, 15.96]]","[[11.5, 10.21], [11.5, 15.96]]",11.5,15.96,15.96,"[array([0., 1.]), array([0., 1.]), array([0.78, 0.22]), array([0.78, 0.22]), array([1., 0.]), array([1., 0.])]",3.0,Not_Unique,2
0.5,80,80,0.4135115519051198,3,1.2405346557153594,1,"[[40.0, 40.0], [58.76, 78.76]]","[[40.0, 58.76], [40.0, 78.76]]",78.76,78.76,78.76,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,62,62,0.5562142406384935,35,19.46749842234727,1,"[[31.0, 31.0], [27.03, 42.53]]","[[31.0, 27.03], [31.0, 42.53]]",31.0,42.53,42.53,"[array([0., 1.]), array([0., 1.]), array([0.74, 0.26]), array([0.74, 0.26]), array([ 1., -0.]), array([ 1., -0.])]",3.0,Not_Unique,2
0.5,67,67,0.9212219498803208,39,35.92765604533251,1,"[[33.5, 33.5], [14.32, 31.07]]","[[33.5, 14.32], [33.5, 31.07]]",33.5,33.5,33.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,16,16,0.6558294252787592,10,6.558294252787592,1,"[[8.0, 8.0], [5.44, 9.44]]","[[8.0, 5.44], [8.0, 9.44]]",8.0,9.44,9.44,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.36, 0.64]), array([0.36, 0.64])]",3.0,Not_Unique,2
0.5,0,0,0.2742759145826841,1,0.2742759145826841,1,"[[0.0, 0.0], [-0.27, -0.27]]","[[0.0, -0.27], [0.0, -0.27]]",0.0,0.0,0.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,42,42,0.3545354325745136,1,0.3545354325745136,1,"[[21.0, 21.0], [31.15, 41.65]]","[[21.0, 31.15], [21.0, 41.65]]",41.65,41.65,41.65,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,56,56,0.04158303012604525,10,0.4158303012604525,1,"[[28.0, 28.0], [41.58, 55.58]]","[[28.0, 41.58], [28.0, 55.58]]",55.58,55.58,55.58,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,9,9,0.96096745457983,47,45.16547036525201,1,"[[4.5, 4.5], [-38.42, -36.17]]","[[4.5, -38.42], [4.5, -36.17]]",4.5,4.5,4.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,54,54,0.6598540532671715,4,2.639416213068686,1,"[[27.0, 27.0], [37.86, 51.36]]","[[27.0, 37.86], [27.0, 51.36]]",51.36,51.36,51.36,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,80,80,0.9899514783078411,35,34.64830174077444,1,"[[40.0, 40.0], [25.35, 45.35]]","[[40.0, 25.35], [40.0, 45.35]]",40.0,45.35,45.35,"[array([-inf,  inf]), array([-inf,  inf]), array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.27, 0.73]), array([0.27, 0.73])]",4.0,Not_Unique,2
0.5,40,40,0.18347958398495778,25,4.586989599623944,1,"[[20.0, 20.0], [25.41, 35.41]]","[[20.0, 25.41], [20.0, 35.41]]",35.41,35.41,35.41,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,30,30,0.2305522491148616,12,2.7666269893783393,1,"[[15.0, 15.0], [19.73, 27.23]]","[[15.0, 19.73], [15.0, 27.23]]",27.23,27.23,27.23,"[array([-0.,  1.]), array([-0.,  1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,36,36,0.6560696595177974,44,28.867065018783084,1,"[[18.0, 18.0], [-1.87, 7.13]]","[[18.0, -1.87], [18.0, 7.13]]",18.0,18.0,18.0,"[array([ 1., -0.]), array([ 1., -0.])]",1.0,Guess,0
0.5,89,89,0.22240752990000912,33,7.3394484867003005,1,"[[44.5, 44.5], [59.41, 81.66]]","[[44.5, 59.41], [44.5, 81.66]]",81.66,81.66,81.66,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,2,2,0.3861394597925163,18,6.950510276265293,1,"[[1.0, 1.0], [-5.45, -4.95]]","[[1.0, -5.45], [1.0, -4.95]]",1.0,1.0,1.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,57,57,0.7690096619305826,13,9.997125605097574,1,"[[28.5, 28.5], [32.75, 47.0]]","[[28.5, 32.75], [28.5, 47.0]]",47.0,47.0,47.0,"[array([-0.,  1.]), array([-0.,  1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,20,20,0.8779360929001822,24,21.07046622960437,1,"[[10.0, 10.0], [-6.07, -1.07]]","[[10.0, -6.07], [10.0, -1.07]]",10.0,10.0,10.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,65,65,0.2674568844534507,36,9.628447840324226,1,"[[32.5, 32.5], [39.12, 55.37]]","[[32.5, 39.12], [32.5, 55.37]]",55.37,55.37,55.37,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,54,54,0.7748537349007603,13,10.073098553709883,1,"[[27.0, 27.0], [30.43, 43.93]]","[[27.0, 30.43], [27.0, 43.93]]",43.93,43.93,43.93,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,9,9,0.9883217778039988,40,39.53287111215995,1,"[[4.5, 4.5], [-32.78, -30.53]]","[[4.5, -32.78], [4.5, -30.53]]",4.5,4.5,4.5,"[array([1., 0.]), array([1., 0.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,68,68,0.45083535331538416,41,18.48424948593075,1,"[[34.0, 34.0], [32.52, 49.52]]","[[34.0, 32.52], [34.0, 49.52]]",34.0,49.52,49.52,"[array([-0.,  1.]), array([-0.,  1.]), array([0.91, 0.09]), array([0.91, 0.09]), array([ 1., -0.]), array([ 1., -0.])]",3.0,Not_Unique,2
0.5,18,18,0.06960557456330174,24,1.6705337895192418,1,"[[9.0, 9.0], [11.83, 16.33]]","[[9.0, 11.83], [9.0, 16.33]]",16.33,16.33,16.33,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,17,17,0.519794952884271,46,23.910567832676467,1,"[[8.5, 8.5], [-11.16, -6.91]]","[[8.5, -11.16], [8.5, -6.91]]",8.5,8.5,8.5,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,84,84,0.9926026088726988,32,31.76328348392636,1,"[[42.0, 42.0], [31.24, 52.24]]","[[42.0, 31.24], [42.0, 52.24]]",42.0,52.24,52.24,"[array([1., 0.]), array([1., 0.]), array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.49, 0.51]), array([0.49, 0.51])]",4.0,Not_Unique,2
0.5,83,83,0.7546339914312653,18,13.583411845762775,1,"[[41.5, 41.5], [48.67, 69.42]]","[[41.5, 48.67], [41.5, 69.42]]",69.42,69.42,69.42,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,84,84,0.54268181911932,25,13.567045477983001,1,"[[42.0, 42.0], [49.43, 70.43]]","[[42.0, 49.43], [42.0, 70.43]]",70.43,70.43,70.43,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,98,98,0.7073189571608199,21,14.853698100377219,1,"[[49.0, 49.0], [58.65, 83.15]]","[[49.0, 58.65], [49.0, 83.15]]",83.15,83.15,83.15,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,79,79,0.07505929589735838,43,3.22754972358641,1,"[[39.5, 39.5], [56.02, 75.77]]","[[39.5, 56.02], [39.5, 75.77]]",75.77,75.77,75.77,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,47,47,0.2899807518023604,31,8.989403305873171,1,"[[23.5, 23.5], [26.26, 38.01]]","[[23.5, 26.26], [23.5, 38.01]]",38.01,38.01,38.01,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,4,4,0.14459638442949163,49,7.08522283704509,1,"[[2.0, 2.0], [-4.09, -3.09]]","[[2.0, -4.09], [2.0, -3.09]]",2.0,2.0,2.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,48,48,0.7274125083718083,35,25.45943779301329,1,"[[24.0, 24.0], [10.54, 22.54]]","[[24.0, 10.54], [24.0, 22.54]]",24.0,24.0,24.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,75,75,0.8377452808019205,41,34.34755651287874,1,"[[37.5, 37.5], [21.9, 40.65]]","[[37.5, 21.9], [37.5, 40.65]]",37.5,40.65,40.65,"[array([1., 0.]), array([1., 0.]), array([-0.,  1.]), array([-0.,  1.]), array([0.17, 0.83]), array([0.17, 0.83])]",3.0,Not_Unique,2
0.5,69,69,0.2724547768316664,15,4.086821652474996,1,"[[34.5, 34.5], [47.66, 64.91]]","[[34.5, 47.66], [34.5, 64.91]]",64.91,64.91,64.91,"[array([0., 1.]), array([0., 1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
0.5,7,7,0.7954870734351036,19,15.114254395266968,1,"[[3.5, 3.5], [-9.86, -8.11]]","[[3.5, -9.86], [3.5, -8.11]]",3.5,3.5,3.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,41,41,0.4406798223092079,17,7.491556979256534,1,"[[20.5, 20.5], [23.26, 33.51]]","[[20.5, 23.26], [20.5, 33.51]]",33.51,33.51,33.51,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,13,13,0.10322842139325217,27,2.7871673776178083,1,"[[6.5, 6.5], [6.96, 10.21]]","[[6.5, 6.96], [6.5, 10.21]]",10.21,10.21,10.21,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,97,97,0.5592669504973681,10,5.5926695049736805,1,"[[48.5, 48.5], [67.16, 91.41]]","[[48.5, 67.16], [48.5, 91.41]]",91.41,91.41,91.41,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,46,46,0.546167587376646,48,26.216044194079004,1,"[[23.0, 23.0], [8.28, 19.78]]","[[23.0, 8.28], [23.0, 19.78]]",23.0,23.0,23.0,"[array([0.5, 0.5]), array([0.5, 0.5]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,89,89,0.34033627535115696,17,5.785716680969668,1,"[[44.5, 44.5], [60.96, 83.21]]","[[44.5, 60.96], [44.5, 83.21]]",83.21,83.21,83.21,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,93,93,0.9189673794763905,12,11.027608553716686,1,"[[46.5, 46.5], [58.72, 81.97]]","[[46.5, 58.72], [46.5, 81.97]]",81.97,81.97,81.97,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,94,94,0.6294639234275519,37,23.29016516681942,1,"[[47.0, 47.0], [47.21, 70.71]]","[[47.0, 47.21], [47.0, 70.71]]",70.71,70.71,70.71,"[array([0., 1.]), array([0., 1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
0.5,74,74,0.4707072227746594,14,6.589901118845232,1,"[[37.0, 37.0], [48.91, 67.41]]","[[37.0, 48.91], [37.0, 67.41]]",67.41,67.41,67.41,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,42,42,0.12838548796527205,9,1.1554693916874483,1,"[[21.0, 21.0], [30.34, 40.84]]","[[21.0, 30.34], [21.0, 40.84]]",40.84,40.84,40.84,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,13,13,0.9705621411838142,20,19.411242823676286,1,"[[6.5, 6.5], [-9.66, -6.41]]","[[6.5, -9.66], [6.5, -6.41]]",6.5,6.5,6.5,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,19,19,0.9487726590832489,6,5.692635954499494,1,"[[9.5, 9.5], [8.56, 13.31]]","[[9.5, 8.56], [9.5, 13.31]]",9.5,13.31,13.31,"[array([-0.,  1.]), array([-0.,  1.]), array([0.8, 0.2]), array([0.8, 0.2]), array([1., 0.]), array([1., 0.])]",3.0,Not_Unique,2
0.5,45,45,0.2825417553511863,8,2.2603340428094905,1,"[[22.5, 22.5], [31.49, 42.74]]","[[22.5, 31.49], [22.5, 42.74]]",42.74,42.74,42.74,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,82,82,0.7451751051860449,8,5.961400841488359,1,"[[41.0, 41.0], [55.54, 76.04]]","[[41.0, 55.54], [41.0, 76.04]]",76.04,76.04,76.04,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,33,33,0.8367592136139075,34,28.449813262872855,1,"[[16.5, 16.5], [-3.7, 4.55]]","[[16.5, -3.7], [16.5, 4.55]]",16.5,16.5,16.5,"[array([ 1., -0.]), array([ 1., -0.])]",1.0,Guess,0
0.5,8,8,0.2331396800511476,43,10.025006242199346,1,"[[4.0, 4.0], [-4.03, -2.03]]","[[4.0, -4.03], [4.0, -2.03]]",4.0,4.0,4.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,92,92,0.6741568931058117,45,30.337060189761527,1,"[[46.0, 46.0], [38.66, 61.66]]","[[46.0, 38.66], [46.0, 61.66]]",46.0,61.66,61.66,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.68, 0.32]), array([0.68, 0.32])]",3.0,Not_Unique,2
0.5,8,8,0.6556295935896364,25,16.39073983974091,1,"[[4.0, 4.0], [-10.39, -8.39]]","[[4.0, -10.39], [4.0, -8.39]]",4.0,4.0,4.0,"[array([ 1., -0.]), array([ 1., -0.])]",1.0,Guess,0
0.5,79,79,0.007337983028205763,17,0.12474571147949798,1,"[[39.5, 39.5], [59.13, 78.88]]","[[39.5, 59.13], [39.5, 78.88]]",78.88,78.88,78.88,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,3,3,0.6046104774578419,31,18.742924801193098,1,"[[1.5, 1.5], [-16.49, -15.74]]","[[1.5, -16.49], [1.5, -15.74]]",1.5,1.5,1.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,97,97,0.028743044373723214,47,1.350923085564991,1,"[[48.5, 48.5], [71.4, 95.65]]","[[48.5, 71.4], [48.5, 95.65]]",95.65,95.65,95.65,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,13,13,0.5079092792562676,36,18.284734053225634,1,"[[6.5, 6.5], [-8.53, -5.28]]","[[6.5, -8.53], [6.5, -5.28]]",6.5,6.5,6.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,36,36,0.5323251861078938,35,18.631381513776283,1,"[[18.0, 18.0], [8.37, 17.37]]","[[18.0, 8.37], [18.0, 17.37]]",18.0,18.0,18.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,21,21,0.9097621147507008,33,30.022149786773127,1,"[[10.5, 10.5], [-14.27, -9.02]]","[[10.5, -14.27], [10.5, -9.02]]",10.5,10.5,10.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,55,55,0.5256985968318847,50,26.284929841594234,1,"[[27.5, 27.5], [14.97, 28.72]]","[[27.5, 14.97], [27.5, 28.72]]",27.5,28.72,28.72,"[array([0.5, 0.5]), array([0.5, 0.5]), array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.09, 0.91]), array([0.09, 0.91])]",4.0,Not_Unique,2
0.5,28,28,0.6962881004154836,28,19.49606681163354,1,"[[14.0, 14.0], [1.5, 8.5]]","[[14.0, 1.5], [14.0, 8.5]]",14.0,14.0,14.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,38,38,0.06359141316725347,40,2.543656526690139,1,"[[19.0, 19.0], [25.96, 35.46]]","[[19.0, 25.96], [19.0, 35.46]]",35.46,35.46,35.46,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,47,47,0.649871330264233,24,15.596911926341594,1,"[[23.5, 23.5], [19.65, 31.4]]","[[23.5, 19.65], [23.5, 31.4]]",23.5,31.4,31.4,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.]), array([-0.,  1.]), array([-0.,  1.]), array([0.67, 0.33]), array([0.67, 0.33])]",4.0,Not_Unique,2
0.5,43,43,0.884878613835655,8,7.07902891068524,1,"[[21.5, 21.5], [25.17, 35.92]]","[[21.5, 25.17], [21.5, 35.92]]",35.92,35.92,35.92,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,28,28,0.49536007902918044,10,4.953600790291804,1,"[[14.0, 14.0], [16.05, 23.05]]","[[14.0, 16.05], [14.0, 23.05]]",23.05,23.05,23.05,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,0,0,0.09881752481333095,22,2.173985545893281,1,"[[0.0, 0.0], [-2.17, -2.17]]","[[0.0, -2.17], [0.0, -2.17]]",0.0,0.0,0.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,9,9,0.5799602597222417,35,20.29860909027846,1,"[[4.5, 4.5], [-13.55, -11.3]]","[[4.5, -13.55], [4.5, -11.3]]",4.5,4.5,4.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,65,65,0.5938589942000257,4,2.375435976800103,1,"[[32.5, 32.5], [46.37, 62.62]]","[[32.5, 46.37], [32.5, 62.62]]",62.62,62.62,62.62,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,57,57,0.3301619916150683,19,6.273077840686298,1,"[[28.5, 28.5], [36.48, 50.73]]","[[28.5, 36.48], [28.5, 50.73]]",50.73,50.73,50.73,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,1,1,0.5846980972238837,42,24.557320083403113,1,"[[0.5, 0.5], [-23.81, -23.56]]","[[0.5, -23.81], [0.5, -23.56]]",0.5,0.5,0.5,"[array([1., 0.]), array([1., 0.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,29,29,0.4041617593552733,28,11.316529261947654,1,"[[14.5, 14.5], [10.43, 17.68]]","[[14.5, 10.43], [14.5, 17.68]]",14.5,17.68,17.68,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.44, 0.56]), array([0.44, 0.56])]",3.0,Not_Unique,2
0.5,97,97,0.7718605845877362,50,38.59302922938681,1,"[[48.5, 48.5], [34.16, 58.41]]","[[48.5, 34.16], [48.5, 58.41]]",48.5,58.41,58.41,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.41, 0.59]), array([0.41, 0.59])]",3.0,Not_Unique,2
0.5,70,70,0.9296891361483149,8,7.4375130891865195,1,"[[35.0, 35.0], [45.06, 62.56]]","[[35.0, 45.06], [35.0, 62.56]]",62.56,62.56,62.56,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,23,23,0.6002121917858644,13,7.802758493216237,1,"[[11.5, 11.5], [9.45, 15.2]]","[[11.5, 9.45], [11.5, 15.2]]",11.5,15.2,15.2,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.64, 0.36]), array([0.64, 0.36])]",3.0,Not_Unique,2
0.5,81,81,0.8548469038599592,34,29.064794731238614,1,"[[40.5, 40.5], [31.69, 51.94]]","[[40.5, 31.69], [40.5, 51.94]]",40.5,51.94,51.94,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.56, 0.44]), array([0.56, 0.44])]",4.0,Not_Unique,2
0.5,41,41,0.8109320847424583,10,8.109320847424582,1,"[[20.5, 20.5], [22.64, 32.89]]","[[20.5, 22.64], [20.5, 32.89]]",32.89,32.89,32.89,"[array([0., 1.]), array([0., 1.]), array([0.5, 0.5]), array([0.5, 0.5])]",2.0,Not_Unique,2
0.5,43,43,0.7203430468137366,38,27.37303577892199,1,"[[21.5, 21.5], [4.88, 15.63]]","[[21.5, 4.88], [21.5, 15.63]]",21.5,21.5,21.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,9,9,0.1382380407010353,31,4.2853792617320945,1,"[[4.5, 4.5], [2.46, 4.71]]","[[4.5, 2.46], [4.5, 4.71]]",4.5,4.71,4.71,"[array([1., 0.]), array([1., 0.]), array([-0.,  1.]), array([-0.,  1.]), array([0.09, 0.91]), array([0.09, 0.91])]",3.0,Not_Unique,2
0.5,75,75,0.6183681088447694,20,12.367362176895389,1,"[[37.5, 37.5], [43.88, 62.63]]","[[37.5, 43.88], [37.5, 62.63]]",62.63,62.63,62.63,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,79,79,0.3713601224826558,12,4.45632146979187,1,"[[39.5, 39.5], [54.79, 74.54]]","[[39.5, 54.79], [39.5, 74.54]]",74.54,74.54,74.54,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,76,76,0.30197754462188875,1,0.30197754462188875,1,"[[38.0, 38.0], [56.7, 75.7]]","[[38.0, 56.7], [38.0, 75.7]]",75.7,75.7,75.7,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,54,54,0.3197522786772977,26,8.31355924560974,1,"[[27.0, 27.0], [32.19, 45.69]]","[[27.0, 32.19], [27.0, 45.69]]",45.69,45.69,45.69,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,71,71,0.9897949942518768,2,1.9795899885037536,1,"[[35.5, 35.5], [51.27, 69.02]]","[[35.5, 51.27], [35.5, 69.02]]",69.02,69.02,69.02,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,87,87,0.32642810334076267,46,15.015692753675083,1,"[[43.5, 43.5], [50.23, 71.98]]","[[43.5, 50.23], [43.5, 71.98]]",71.98,71.98,71.98,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,1,1,0.190522573125534,34,6.4777674862681565,1,"[[0.5, 0.5], [-5.73, -5.48]]","[[0.5, -5.73], [0.5, -5.48]]",0.5,0.5,0.5,"[array([ 1., -0.]), array([ 1., -0.])]",1.0,Guess,0
0.5,44,44,0.18184707338067896,38,6.910188788465801,1,"[[22.0, 22.0], [26.09, 37.09]]","[[22.0, 26.09], [22.0, 37.09]]",37.09,37.09,37.09,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,45,45,0.23351752076636223,16,3.7362803322617957,1,"[[22.5, 22.5], [30.01, 41.26]]","[[22.5, 30.01], [22.5, 41.26]]",41.26,41.26,41.26,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,99,99,0.5119211031225989,50,25.596055156129943,1,"[[49.5, 49.5], [48.65, 73.4]]","[[49.5, 48.65], [49.5, 73.4]]",49.5,73.4,73.4,"[array([0., 1.]), array([0., 1.]), array([0.97, 0.03]), array([0.97, 0.03]), array([1., 0.]), array([1., 0.])]",3.0,Not_Unique,2
0.5,66,66,0.3513838771661818,3,1.0541516314985455,1,"[[33.0, 33.0], [48.45, 64.95]]","[[33.0, 48.45], [33.0, 64.95]]",64.95,64.95,64.95,"[array([0., 1.]), array([0., 1.]), array([0.5, 0.5]), array([0.5, 0.5])]",2.0,Not_Unique,2
0.5,57,57,0.08189135817314652,23,1.8835012379823701,1,"[[28.5, 28.5], [40.87, 55.12]]","[[28.5, 40.87], [28.5, 55.12]]",55.12,55.12,55.12,"[array([0., 1.]), array([0., 1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
0.5,62,62,0.2720452453878802,31,8.433402607024286,1,"[[31.0, 31.0], [38.07, 53.57]]","[[31.0, 38.07], [31.0, 53.57]]",53.57,53.57,53.57,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,77,77,0.3958461557662326,27,10.687846205688281,1,"[[38.5, 38.5], [47.06, 66.31]]","[[38.5, 47.06], [38.5, 66.31]]",66.31,66.31,66.31,"[array([0., 1.]), array([0., 1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
0.5,59,59,0.38987410527409094,37,14.425341895141365,1,"[[29.5, 29.5], [29.82, 44.57]]","[[29.5, 29.82], [29.5, 44.57]]",44.57,44.57,44.57,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,12,12,0.05375330349029106,6,0.32251982094174636,1,"[[6.0, 6.0], [8.68, 11.68]]","[[6.0, 8.68], [6.0, 11.68]]",11.68,11.68,11.68,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,8,8,0.48239920258651026,19,9.165584849143695,1,"[[4.0, 4.0], [-3.17, -1.17]]","[[4.0, -3.17], [4.0, -1.17]]",4.0,4.0,4.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,32,32,0.08743931711252073,45,3.934769270063433,1,"[[16.0, 16.0], [20.07, 28.07]]","[[16.0, 20.07], [16.0, 28.07]]",28.07,28.07,28.07,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,59,59,0.6735721575124793,18,12.124298835224629,1,"[[29.5, 29.5], [32.13, 46.88]]","[[29.5, 32.13], [29.5, 46.88]]",46.88,46.88,46.88,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,60,60,0.9213620039972378,16,14.741792063955804,1,"[[30.0, 30.0], [30.26, 45.26]]","[[30.0, 30.26], [30.0, 45.26]]",45.26,45.26,45.26,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,97,97,0.8656680667409944,31,26.835710068970826,1,"[[48.5, 48.5], [45.91, 70.16]]","[[48.5, 45.91], [48.5, 70.16]]",48.5,70.16,70.16,"[array([0., 1.]), array([0., 1.]), array([0.5, 0.5]), array([0.5, 0.5]), array([0.89, 0.11]), array([0.89, 0.11]), array([1., 0.]), array([1., 0.])]",4.0,Not_Unique,2
