pT,W,R,pL,c,pL*c,pQ,R1_array,R2_array,Max_R1_Payoff,Max_R2_Payoff,Max_Payoff,Eq,Number_Eqs,Strategy_Name,Strategy
0.5,34,99,0.8505741829181774,1,0.8505741829181774,1,"[[33.25, 33.25], [40.9, 65.65]]","[[33.25, 40.9], [33.25, 65.65]]",65.65,65.65,65.65,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,16,46,0.9914386869924925,42,41.640424853684685,1,"[[15.5, 15.5], [-22.14, -10.64]]","[[15.5, -22.14], [15.5, -10.64]]",15.5,15.5,15.5,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,35,37,0.032892902028129334,19,0.6249651385344573,1,"[[18.0, 18.0], [26.13, 35.38]]","[[18.0, 26.13], [18.0, 35.38]]",35.38,35.38,35.38,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,93,6,0.5703363994141945,47,26.80581077246714,1,"[[24.75, 24.75], [21.19, 22.69]]","[[24.75, 21.19], [24.75, 22.69]]",24.75,24.75,24.75,"[array([1., 0.]), array([1., 0.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,18,91,0.4666598125560777,24,11.199835501345865,1,"[[27.25, 27.25], [20.55, 43.3]]","[[27.25, 20.55], [27.25, 43.3]]",27.25,43.3,43.3,"[array([ 1., -0.]), array([ 1., -0.]), array([0., 1.]), array([0., 1.]), array([0.71, 0.29]), array([0.71, 0.29])]",3.0,Not_Unique,2
0.5,56,14,0.3121581335380931,17,5.306688270147582,1,"[[17.5, 17.5], [26.19, 29.69]]","[[17.5, 26.19], [17.5, 29.69]]",29.69,29.69,29.69,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,81,51,0.9030442385148069,38,34.315681063562664,1,"[[33.0, 33.0], [18.93, 31.68]]","[[33.0, 18.93], [33.0, 31.68]]",33.0,33.0,33.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,38,60,0.7920995250018791,36,28.515582900067646,1,"[[24.5, 24.5], [5.48, 20.48]]","[[24.5, 5.48], [24.5, 20.48]]",24.5,24.5,24.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,3,33,0.17824404391674864,12,2.1389285270009837,1,"[[9.0, 9.0], [7.61, 15.86]]","[[9.0, 7.61], [9.0, 15.86]]",9.0,15.86,15.86,"[array([-0.,  1.]), array([-0.,  1.]), array([0., 1.]), array([0., 1.]), array([0.83, 0.17]), array([0.83, 0.17]), array([1., 0.]), array([1., 0.])]",4.0,Not_Unique,2
0.5,28,67,0.7942634168516393,31,24.622165922400818,1,"[[23.75, 23.75], [6.13, 22.88]]","[[23.75, 6.13], [23.75, 22.88]]",23.75,23.75,23.75,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,48,4,0.9888986422168955,1,0.9888986422168955,1,"[[13.0, 13.0], [24.01, 25.01]]","[[13.0, 24.01], [13.0, 25.01]]",25.01,25.01,25.01,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,2,38,0.9864853010526241,18,17.756735418947233,1,"[[10.0, 10.0], [-7.26, 2.24]]","[[10.0, -7.26], [10.0, 2.24]]",10.0,10.0,10.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,9,56,0.17956769300423403,18,3.2322184740762125,1,"[[16.25, 16.25], [15.27, 29.27]]","[[16.25, 15.27], [16.25, 29.27]]",16.25,29.27,29.27,"[array([-0.,  1.]), array([-0.,  1.]), array([0.93, 0.07]), array([0.93, 0.07]), array([ 1., -0.]), array([ 1., -0.])]",3.0,Not_Unique,2
0.5,52,65,0.010872530995235774,41,0.44577377080466674,1,"[[29.25, 29.25], [41.8, 58.05]]","[[29.25, 41.8], [29.25, 58.05]]",58.05,58.05,58.05,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,85,19,0.7681022507442197,22,16.898249516372832,1,"[[26.0, 26.0], [30.35, 35.1]]","[[26.0, 30.35], [26.0, 35.1]]",35.1,35.1,35.1,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,12,96,0.5276163138669905,45,23.74273412401457,1,"[[27.0, 27.0], [6.26, 30.26]]","[[27.0, 6.26], [27.0, 30.26]]",27.0,30.26,30.26,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.14, 0.86]), array([0.14, 0.86])]",3.0,Not_Unique,2
0.5,57,57,0.7972734289427709,21,16.74274200779819,1,"[[28.5, 28.5], [26.01, 40.26]]","[[28.5, 26.01], [28.5, 40.26]]",28.5,40.26,40.26,"[array([0., 1.]), array([0., 1.]), array([0.83, 0.17]), array([0.83, 0.17]), array([ 1., -0.]), array([ 1., -0.])]",3.0,Not_Unique,2
0.5,67,94,0.6708513935098951,39,26.16320434688591,1,"[[40.25, 40.25], [30.84, 54.34]]","[[40.25, 30.84], [40.25, 54.34]]",40.25,54.34,54.34,"[array([1., 0.]), array([1., 0.]), array([-0.,  1.]), array([-0.,  1.]), array([0.6, 0.4]), array([0.6, 0.4])]",3.0,Not_Unique,2
0.5,89,94,0.2170867313240632,48,10.420163103555034,1,"[[45.75, 45.75], [57.58, 81.08]]","[[45.75, 57.58], [45.75, 81.08]]",81.08,81.08,81.08,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,86,9,0.7759281682849476,25,19.39820420712369,1,"[[23.75, 23.75], [25.85, 28.1]]","[[23.75, 25.85], [23.75, 28.1]]",28.1,28.1,28.1,"[array([0., 1.]), array([0., 1.]), array([0.5, 0.5]), array([0.5, 0.5])]",2.0,Not_Unique,2
0.5,2,62,0.3576961515463334,48,17.169415274224,1,"[[16.0, 16.0], [-0.67, 14.83]]","[[16.0, -0.67], [16.0, 14.83]]",16.0,16.0,16.0,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,4,30,0.05531923716412168,12,0.6638308459694602,1,"[[8.5, 8.5], [8.84, 16.34]]","[[8.5, 8.84], [8.5, 16.34]]",16.34,16.34,16.34,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,78,27,0.47211188604470455,36,16.996027897609363,1,"[[26.25, 26.25], [28.75, 35.5]]","[[26.25, 28.75], [26.25, 35.5]]",35.5,35.5,35.5,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,98,2,0.33325524352345637,45,14.996485958555537,1,"[[25.0, 25.0], [34.5, 35.0]]","[[25.0, 34.5], [25.0, 35.0]]",35.0,35.0,35.0,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,10,73,0.39640603458462476,36,14.270617245046491,1,"[[20.75, 20.75], [8.98, 27.23]]","[[20.75, 8.98], [20.75, 27.23]]",20.75,27.23,27.23,"[array([1., 0.]), array([1., 0.]), array([-0.,  1.]), array([-0.,  1.]), array([0.36, 0.64]), array([0.36, 0.64])]",3.0,Not_Unique,2
0.5,59,44,0.7712737657681943,6,4.627642594609165,1,"[[25.75, 25.75], [35.87, 46.87]]","[[25.75, 35.87], [25.75, 46.87]]",46.87,46.87,46.87,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
